Experiment	NB	NB	NB	HEG	HEG	HEG	EG4	EG4	EG4
C_day1_hr1	1	2	3	4	5	6	7	8	9
C_day1_hr3	10	11	12	13	14	15	16	17	18
C_day2_hr1	19	20	21	22	23	24	25	26	27
C_day2_hr3	28	29	30	31	32	33	34	35	36
C_day3_hr1	37	38	NA	40	41	42	43	44	45
C_day3_hr3	46	47	NA	49	50	51	52	53	54
T_day1_hr1	55	56	57	58	59	60	61	62	63
T_day1_hr3	64	65	66	67	68	69	70	71	72
T_day2_hr1	73	74	75	76	77	78	79	80	81
T_day2_hr3	82	83	84	85	86	87	88	89	90
T_day3_hr1	91	92	93	94	95	96	97	98	99
T_day3_hr3	100	101	102	103	104	105	106	107	108
